"","Behaviour","START","STOP","Duration","ID"
"449","Mounted + Freezing",5917.78,5923.56,5.78000000000065,"g1.G30xJ210"
"451","Leg Showcase + Mounted + Pedipalp Showcase",5923.71,5927.32,3.60999999999967,"g1.G30xJ210"
"453","Mounted + Freezing",5927.37,5938.25,10.8800000000001,"g1.G30xJ210"
"455","Leg Showcase + Mounted + Pedipalp Showcase",5938.3,5944.56,6.26000000000022,"g1.G30xJ210"
"456","Mounted + Freezing",5944.56,5948.07,3.50999999999931,"g1.G30xJ210"
"458","Leg Showcase + Mounted + Pedipalp Showcase",5948.09,5951.56,3.47000000000025,"g1.G30xJ210"
"459","Mounted + Freezing",5951.56,5959.73,8.16999999999916,"g1.G30xJ210"
"461","Leg Showcase + Mounted + Pedipalp Showcase",5959.81,5963.48,3.66999999999916,"g1.G30xJ210"
"462","Mounted + Freezing",5963.48,5969.76,6.28000000000065,"g1.G30xJ210"
"464","Leg Showcase + Mounted + Pedipalp Showcase",5969.82,5974.09,4.27000000000044,"g1.G30xJ210"
"465","Mounted + Freezing",5974.09,5981.29,7.19999999999982,"g1.G30xJ210"
"467","Leg Showcase + Mounted + Pedipalp Showcase",5981.31,5985.11,3.79999999999927,"g1.G30xJ210"
"468","Mounted + Freezing",5985.11,5993.22,8.11000000000058,"g1.G30xJ210"
"470","Leg Showcase + Mounted + Pedipalp Showcase",5993.31,5998.17,4.85999999999967,"g1.G30xJ210"
"471","Mounted + Freezing",5998.17,6009.72,11.5500000000002,"g1.G30xJ210"
"473","Leg Showcase + Mounted + Pedipalp Showcase",6009.82,6013.01,3.19000000000051,"g1.G30xJ210"
"474","Mounted + Freezing",6013.01,6019.83,6.81999999999971,"g1.G30xJ210"
"476","Leg Showcase + Mounted + Pedipalp Showcase",6019.9,6023.38,3.48000000000047,"g1.G30xJ210"
"478","Mounted + Freezing",6023.43,6043.01,19.5799999999999,"g1.G30xJ210"
"480","Leg Showcase + Mounted + Pedipalp Showcase",6043.06,6047,3.9399999999996,"g1.G30xJ210"
"481","Mounted + Freezing",6047,6052.57,5.56999999999971,"g1.G30xJ210"
"483","Leg Showcase + Mounted + Pedipalp Showcase",6052.64,6055.56,2.92000000000007,"g1.G30xJ210"
"484","Mounted + Freezing",6055.56,6061.8,6.23999999999978,"g1.G30xJ210"
"486","Leg Showcase + Mounted + Pedipalp Showcase",6061.85,6065.12,3.26999999999953,"g1.G30xJ210"
"487","Mounted + Freezing",6065.12,6074.88,9.76000000000022,"g1.G30xJ210"
"489","Leg Showcase + Mounted + Pedipalp Showcase",6074.93,6077.85,2.92000000000007,"g1.G30xJ210"
"490","Mounted + Freezing",6077.85,6084.6,6.75,"g1.G30xJ210"
"492","Leg Showcase + Mounted + Pedipalp Showcase",6084.69,6088.63,3.94000000000051,"g1.G30xJ210"
"493","Mounted + Freezing",6088.63,6096.61,7.97999999999956,"g1.G30xJ210"
"495","Leg Showcase + Mounted + Pedipalp Showcase",6096.68,6099.94,3.25999999999931,"g1.G30xJ210"
"496","Mounted + Freezing",6099.94,6113.28,13.3400000000001,"g1.G30xJ210"
"498","Leg Showcase + Mounted + Pedipalp Showcase",6113.35,6118.99,5.63999999999942,"g1.G30xJ210"
"499","Mounted + Freezing",6118.99,6127.92,8.93000000000029,"g1.G30xJ210"
"501","Leg Showcase + Mounted + Pedipalp Showcase",6127.97,6132.56,4.59000000000015,"g1.G30xJ210"
"502","Mounted + Freezing",6132.56,6140.71,8.14999999999964,"g1.G30xJ210"
"504","Leg Showcase + Mounted + Pedipalp Showcase",6140.76,6143.55,2.78999999999996,"g1.G30xJ210"
"505","Mounted + Freezing",6143.55,6150.9,7.34999999999945,"g1.G30xJ210"
"507","Leg Showcase + Mounted + Pedipalp Showcase",6150.97,6154.64,3.67000000000007,"g1.G30xJ210"
"508","Mounted + Freezing",6154.64,6163.23,8.58999999999924,"g1.G30xJ210"
"510","Leg Showcase + Mounted + Pedipalp Showcase",6163.28,6165.21,1.93000000000029,"g1.G30xJ210"
